t,r
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_038_demonstrate,"demonstrated by thin cracks in the decorative paintings"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_041_crack,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_045_painting
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_041_crack,http://purl.org/acoli/open-ie/thin
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_041_crack,http://purl.org/acoli/open-ie/crack
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_041_crack,"thin cracks in the decorative paintings"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_045_painting,http://purl.org/acoli/open-ie/decorative
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_045_painting,http://purl.org/acoli/open-ie/painting
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n1_045_painting,"the decorative paintings"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_001_famous,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_001_famous,"famous"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,_:t749
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,_:t749
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,http://purl.org/acoli/open-ie/famous
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,http://purl.org/acoli/open-ie/golden
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,http://purl.org/acoli/open-ie/mask
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask,"The famous golden head mask exposed in the Egyptian Museum of Cairo"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_027_panel,_:t750
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_027_panel,_:t750
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_027_panel,http://purl.org/acoli/open-ie/wooden
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_027_panel,http://purl.org/acoli/open-ie/panel
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_027_panel,"the wooden panels and statues"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_035_their,_:t751
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_035_their,_:t751
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_035_their,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_004_mask
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n10_035_their,"their"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_000_tutankhamun,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_000_tutankhamun,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_000_tutankhamun,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_000_tutankhamun,"Tutankhamun"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,"1"
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,_:t752
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_000_tutankhamun
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,_:t752
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_010_16th
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,http://purl.org/acoli/open-ie/eleventh
http://purl.org/acoli/open-ie/in2rdf.Sentence2Triple/1363910379#n11_004_king,http://purl.org/acoli/open-ie/king
